Entry,Customer Placed Order Time(min),Placed Order with Restaurant Time(min),OPtoORTime(min)Delta,Driver at Restaurant Time(min),DRfmOPTime(min) Delta,DRfmORTime(min) Delta,Delivered to Customer Time(min),OCfmOPTime(min) Delta,OCfmORTime(min) Delta,OCfmDRTime(min) Delta,Driver ID,Restaurant ID,Consumer ID,Delivery Region,Is ASAP,Order total,Amount of discount,Amount of tip,Refunded amount
15300,67,87,20,101,34,14,142,75,55,41,340,104,653,Palo Alto,TRUE,66.25,0,6.63,0
15304,1038,1068,30,0,-1038,-1068,1118,80,51,1118,340,47,3702,Palo Alto,FALSE,35.36,0,4.05,0
15309,1017,1064,46,1099,82,35,1117,100,53,18,340,83,4484,Palo Alto,FALSE,53.14,0,6.5,0
15310,102,133,31,159,57,26,178,76,45,19,340,8,3703,Palo Alto,FALSE,33.19,0,2.5,0
15313,86,134,48,155,69,21,183,97,49,28,340,47,9940,Palo Alto,FALSE,66.3,0,8.31,0
15319,117,125,8,161,44,36,182,65,57,21,340,360,38800,Palo Alto,TRUE,172.62,0,7.38,0
15325,222,1076,854,1118,896,42,1155,933,79,37,341,4,199572,Palo Alto,FALSE,214.66,6,9.31,0
15329,22,50,28,103,81,53,113,91,62,9,341,211,35557,Palo Alto,FALSE,36.45,5,1.4,0
15331,1012,1141,129,1160,148,19,1194,183,54,34,341,86,197929,Palo Alto,FALSE,15.12,6,0,0
15333,1105,1114,8,1145,39,31,1167,62,54,23,341,205,3772,Palo Alto,TRUE,25.47,0,2.68,0
15336,1088,1127,39,1149,61,22,1174,86,47,25,341,123,4087,Palo Alto,FALSE,100.32,0,4.32,0
15338,1076,1114,38,0,-1076,-1114,1140,64,26,1140,341,83,9923,Palo Alto,FALSE,24.38,0,1.22,0
15340,1011,1058,47,1118,108,60,1147,136,89,29,341,3,8076,Palo Alto,FALSE,281.21,0,10,0
15343,1026,1083,58,1116,90,33,1135,109,51,18,341,9,18376,Palo Alto,FALSE,121.24,0,10.04,0
15349,1099,1133,33,1155,55,22,1172,73,40,18,341,44,1081,Palo Alto,TRUE,22.8,0,1.14,0
15350,74,103,29,114,40,12,160,86,58,46,341,7,8000,Palo Alto,TRUE,130.87,0,5.46,0
15352,1113,1128,15,1136,23,8,1181,68,54,45,341,264,5673,Mountain View,TRUE,183.62,0,7.89,0
15355,1060,1093,33,0,-1060,-1093,1123,63,30,1123,341,243,190388,Mountain View,FALSE,39.06,6,3.04,0
15360,1074,1075,1,1151,77,76,1167,93,92,16,341,8,929,Palo Alto,FALSE,254.55,0,11.15,0
15363,1057,1088,30,0,-1057,-1088,1153,96,66,1153,341,109,959,Mountain View,FALSE,264.08,0,23.18,0
15364,985,1108,122,1131,146,23,1143,158,35,12,341,94,10553,Palo Alto,FALSE,25.03,0,1.25,0
15366,128,1037,909,1100,972,63,1121,994,84,21,342,8,2456,Palo Alto,FALSE,179.31,0,15.38,0
15368,1034,1035,1,1106,72,71,1118,83,82,12,342,8,4484,Palo Alto,FALSE,50.59,0,6.15,0
15369,1067,1072,5,1152,85,80,1182,115,110,31,342,86,929,Palo Alto,FALSE,213.45,0,9.26,0
15371,1114,1117,3,1180,66,63,1220,105,102,40,342,8,36073,Palo Alto,TRUE,39.5,0,4.62,0
15372,1111,1156,46,0,-1111,-1156,1202,91,46,1202,342,12,14699,Palo Alto,TRUE,48.3,0,1.94,0
15374,1080,1085,5,1125,45,40,1153,72,67,28,342,8,14519,Palo Alto,FALSE,57.55,0,8.63,0
15376,1126,1142,16,1176,50,35,1220,94,78,44,342,15,12701,Palo Alto,TRUE,16.33,0,0.82,0
15377,1010,1071,61,0,-1010,-1071,1105,95,34,1105,343,259,14776,Palo Alto,FALSE,58.09,0,2.9,0
15388,1082,1119,37,1156,74,36,1182,100,63,26,343,232,12708,Palo Alto,FALSE,222.59,0,9.68,0
15392,1151,1406,255,1410,259,4,1437,286,31,27,343,83,100869,Palo Alto,FALSE,34.22,6,0,0
15395,68,72,4,109,41,37,130,62,59,22,343,8,13902,Palo Alto,TRUE,90.77,0,7.79,0
15406,32,36,4,87,55,51,97,65,61,10,343,306,11489,Mountain View,TRUE,40.64,6,2.03,0
15410,1041,1063,23,1106,65,43,1114,73,51,8,343,8,13018,Palo Alto,FALSE,165.77,0,6.54,0
15418,1012,1063,50,0,-1012,-1063,1154,141,91,1154,343,63,62969,Palo Alto,FALSE,219.66,0,8.5,0
15424,1019,1021,2,1111,91,89,1122,103,101,12,343,8,236,Palo Alto,FALSE,43.9,0,3.48,0
15429,1044,1052,8,1085,42,33,1105,61,53,20,343,58,2639,Mountain View,FALSE,96.65,0,8.33,0
15433,273,0,-273,1080,807,1080,1127,854,1127,47,343,97,113496,Mountain View,FALSE,451.13,0,38.6,0
15434,1113,1181,67,1213,100,33,1238,125,58,25,343,27,9180,Palo Alto,FALSE,75.16,0,3.18,0
15435,139,174,35,0,-139,-174,213,74,40,213,343,45,1660,Mountain View,TRUE,41.78,0,2.09,0
15438,205,227,21,264,59,38,280,75,53,16,343,140,14203,San Jose,TRUE,41.89,0,4.19,19.06
15445,998,1075,77,1115,117,40,1139,141,64,24,343,9,45205,Palo Alto,FALSE,77.56,0,3.29,0
15448,1008,1047,39,0,-1008,-1047,1157,149,110,1157,343,47,10294,None,FALSE,248.1,0,10.85,40.79
15452,80,96,16,0,-80,-96,148,68,52,148,343,241,110118,Mountain View,TRUE,37.49,0,0,37.49
15454,1081,1189,108,1211,131,22,1228,147,38,16,343,83,13568,Palo Alto,FALSE,21.17,0,0.69,0
15456,201,201,0,216,15,15,263,62,62,47,343,129,85417,San Jose,TRUE,49.5,6,4,0
15458,992,1049,57,1106,114,57,1129,137,80,23,343,9,2091,Palo Alto,FALSE,32.05,0,3.59,0
15460,166,167,1,0,-166,-167,227,61,60,227,343,127,92153,San Jose,TRUE,82.94,6,4.15,0
15464,1058,1111,53,1124,66,13,1141,83,30,17,343,63,9982,Mountain View,FALSE,47.22,0,2.36,0
15465,1346,1388,41,1413,67,25,1440,93,52,26,343,98,6468,Mountain View,FALSE,21.12,0,0.69,0
15468,1151,1167,16,1176,26,10,1235,85,68,59,343,63,76264,Palo Alto,TRUE,192.31,0,16.58,0
15470,7,24,18,52,45,27,74,67,49,22,343,54,84595,Mountain View,FALSE,47.87,0,2.39,0
15473,162,192,30,0,-162,-192,276,114,84,276,343,179,57105,San Jose,TRUE,126.51,0,15.79,0
15475,1343,1403,60,0,-1343,-1403,1432,89,29,1432,343,271,79720,San Jose,FALSE,56.47,6,2.82,0
15478,963,1097,134,1150,187,52,1173,210,76,24,343,63,3336,Palo Alto,FALSE,84.52,0,7.22,0
15480,1039,1063,24,0,-1039,-1063,1102,63,39,1102,343,15,8646,Palo Alto,FALSE,16.88,0,2,0
15487,961,1157,196,1185,223,28,1211,250,54,27,343,63,3336,Palo Alto,FALSE,88.87,0,7.62,0
15490,1304,1310,7,0,-1304,-1310,1370,66,59,1370,343,84,8000,Palo Alto,TRUE,94.31,0,4.06,0
15495,1190,1229,39,1240,50,11,1252,62,23,12,343,135,81349,San Jose,FALSE,13.88,6,2,0
15497,176,184,8,221,45,37,247,71,63,26,343,169,83833,San Jose,TRUE,80.82,6,10,0
15500,74,77,3,122,48,45,139,65,61,16,343,249,11724,Palo Alto,TRUE,57.33,0,2.87,0
15505,1121,1172,52,1182,61,9,1195,75,23,14,343,8,497,Palo Alto,FALSE,27.64,0,1.38,0
15528,51,62,11,0,-51,-62,112,62,51,112,343,235,2787,Palo Alto,TRUE,65.7,0,2.74,0
15533,156,158,2,172,16,14,233,77,75,61,343,362,83205,Palo Alto,TRUE,109.39,0,16.41,0
15536,11,66,55,110,99,44,151,141,86,41,343,45,1384,Mountain View,FALSE,368.81,0,16.4,0
15539,1121,1122,1,1162,41,40,1182,61,60,20,343,128,10846,San Jose,TRUE,36.45,0,2.8,0
15540,121,126,5,164,43,38,185,64,59,21,343,266,2469,Mountain View,TRUE,33.19,0,2,0
15545,1038,1052,15,1112,74,59,1126,88,74,14,343,8,2399,Palo Alto,FALSE,62.88,0,7.84,0
15547,1152,1155,3,1209,57,54,1227,75,72,18,343,68,1226,Palo Alto,TRUE,35.2,0,5,0
15550,1065,1067,1,0,-1065,-1067,1146,81,79,1146,343,20,608,Palo Alto,FALSE,21.99,10,0.73,0
15552,1295,1390,94,1418,123,29,1437,142,48,19,343,84,22183,Palo Alto,FALSE,44.44,0,1.76,0
15553,1089,1149,60,1160,70,10,1172,82,22,12,343,12,670,Palo Alto,FALSE,28.62,0,4,0
15554,1156,1159,3,1185,29,26,1228,72,68,43,343,20,7421,Palo Alto,TRUE,27.15,0,0.97,0
15566,1123,1146,23,0,-1123,-1146,1197,74,51,1197,343,312,4204,Palo Alto,TRUE,16.34,0,1.63,0
15573,141,169,29,0,-141,-169,205,65,36,205,343,224,8563,Mountain View,TRUE,44.06,0,3.5,0
15580,8,34,26,58,50,24,89,82,55,31,343,243,18407,Mountain View,FALSE,69.51,0,8.76,0
15581,64,123,60,0,-64,-123,180,116,57,180,343,303,41101,San Jose,FALSE,48.46,0,4.85,0
15588,1118,1119,1,0,-1118,-1119,1194,76,75,1194,343,20,86795,Palo Alto,TRUE,62.65,0,2.6,0
15589,1213,1221,7,0,-1213,-1221,1288,75,67,1288,343,84,194304,Palo Alto,TRUE,35.31,6,5.3,0
15590,1130,1147,18,1181,52,34,1195,65,47,13,343,139,70634,San Jose,TRUE,23.29,0,0.79,0
15598,1218,1221,3,0,-1218,-1221,1288,69,66,1288,343,84,7737,Palo Alto,TRUE,101.65,0,5.08,0
15608,1085,1119,33,1162,76,43,1189,104,71,28,343,211,4443,Palo Alto,FALSE,25.46,0,2.68,0
15611,1037,1051,13,1092,54,41,1122,85,71,30,343,7,7081,Palo Alto,FALSE,150,0,6.34,0
15614,153,167,14,174,21,7,228,75,61,54,344,20,28390,Palo Alto,TRUE,31.99,0,4.8,0
15620,106,123,18,130,25,7,181,75,58,51,344,10,7403,Palo Alto,TRUE,26.66,0,1.33,0
15622,1221,1245,24,1262,41,17,1288,66,43,26,344,14,24346,Palo Alto,TRUE,56.57,0,6.97,0
15624,142,153,11,180,38,27,206,64,54,27,344,5,3806,Palo Alto,TRUE,45.1,0,2.09,0
15630,145,146,0,183,38,38,209,64,63,26,344,8,50635,Palo Alto,TRUE,30.47,0,1.12,0
15634,1255,1265,9,1303,47,38,1336,80,71,33,344,62,1528,Palo Alto,TRUE,25.52,0,0.89,0
15637,991,1061,71,1088,97,27,1108,117,47,20,344,21,5851,Palo Alto,FALSE,44.44,0,2.22,0
15645,89,91,2,123,34,32,154,65,63,31,345,91,2796,Palo Alto,TRUE,67.88,0,3.39,19.18
15646,1144,1157,13,0,-1144,-1157,1228,84,71,1228,345,5,3963,Palo Alto,TRUE,59.29,0,2.96,0
15666,22,129,107,186,164,57,195,172,65,9,345,8,2979,Palo Alto,FALSE,42.87,0,3.39,0
