Entry,Customer Placed Order Time(min),Placed Order with Restaurant Time(min),OPtoORTime(min)Delta,Driver at Restaurant Time(min),DRfmOPTime(min) Delta,DRfmORTime(min) Delta,Delivered to Customer Time(min),OCfmOPTime(min) Delta,OCfmORTime(min) Delta,OCfmDRTime(min) Delta,Driver ID,Restaurant ID,Consumer ID,Delivery Region,Is ASAP,Order total,Amount of discount,Amount of tip,Refunded amount
3917,1083,1113,31,1174,91,61,1211,128,98,37,123,170,86464,San Jose,FALSE,163.87,6,8.19,0
3919,88,96,8,139,52,43,175,87,79,36,123,316,92273,San Jose,TRUE,15.27,0,0.42,0
3924,1097,1101,5,1126,30,25,1164,67,63,37,123,271,86585,San Jose,TRUE,23.93,0,0.82,0
3925,1157,1160,3,1172,15,12,1228,71,69,57,123,195,13327,San Jose,TRUE,36.83,0,1.84,0
3926,72,75,3,87,15,12,148,76,73,61,123,150,35644,San Jose,TRUE,21.12,0,2.08,0
3928,47,48,1,80,32,32,115,67,67,35,123,310,65564,San Jose,TRUE,50.09,0,2.5,0
3929,1195,1200,5,0,-1195,-1200,1273,78,73,1273,123,190,17144,San Jose,TRUE,22.31,0,0.75,16.31
3930,85,88,3,103,18,15,152,67,64,49,123,190,14453,San Jose,TRUE,18.34,0,2.75,0
3932,57,58,0,78,21,20,120,63,62,42,123,185,12764,San Jose,TRUE,33.13,0,5,0
3933,88,107,20,148,61,41,173,85,66,25,123,321,14207,San Jose,TRUE,35.76,0,2.73,0
3935,1075,1082,7,1099,24,17,1147,71,64,48,123,298,96518,San Jose,FALSE,15.27,0,0.85,0
3937,1016,1143,127,0,-1016,-1143,1199,183,56,1199,123,188,80959,San Jose,FALSE,60.05,6,0,0
3939,1172,1173,2,1187,15,13,1243,72,70,57,123,131,106695,San Jose,TRUE,16.06,6,2,0
3941,1069,1092,23,1103,34,11,1143,75,52,40,123,383,24289,San Jose,FALSE,33.08,0,1.24,0
3946,73,94,21,113,40,18,154,81,60,41,125,70,83205,Palo Alto,TRUE,148.8,0,18.81,0
3948,81,83,2,110,28,26,146,65,63,36,125,10,12977,Palo Alto,TRUE,28.29,0,3.07,0
3952,1242,1272,29,1307,65,36,1321,78,49,13,125,83,12462,Palo Alto,TRUE,29.82,0,1.49,0
3953,1124,1184,60,1163,38,-22,1199,75,15,36,125,8,12715,Palo Alto,TRUE,20.08,0,0,0
3959,988,1069,81,1132,143,62,1145,157,76,13,125,47,62969,Palo Alto,FALSE,96.2,0,6,0
3975,1059,1131,71,0,-1059,-1131,1156,97,26,1156,125,232,7396,Palo Alto,FALSE,55.26,0,2.76,0
3981,195,229,35,250,56,21,280,86,51,30,125,106,83877,Palo Alto,TRUE,131.63,6,5.48,0
3982,1271,1320,49,0,-1271,-1320,1359,88,39,1359,125,12,7259,Palo Alto,TRUE,15.24,0,0.42,0
3986,0,1085,1084,1102,1102,18,1140,1139,55,37,125,96,6674,Palo Alto,FALSE,102.24,0,4.42,0
3990,1091,1147,56,1168,77,21,1188,97,41,20,125,8,52,Palo Alto,FALSE,27.7,0,1.39,0
3991,1031,0,-1031,0,-1031,0,1128,97,1128,1128,125,11,79435,Palo Alto,FALSE,293.48,0,25,0
3993,1223,1261,38,1292,68,30,1301,78,40,9,125,9,524,Palo Alto,TRUE,31.56,0,2.35,0
3994,140,141,2,180,40,38,203,63,61,23,125,63,1608,Palo Alto,TRUE,157.34,0,6.68,0
3997,1135,1188,53,1194,59,7,1209,74,21,14,125,59,264,Palo Alto,TRUE,31.94,0,1.19,0
3998,1024,1134,110,0,-1024,-1134,1186,162,52,1186,125,53,4429,Palo Alto,FALSE,85.39,0,7.3,0
3999,1084,1090,6,1125,42,35,1146,62,56,20,125,20,39293,Palo Alto,FALSE,81.79,0,6.96,0
4002,1085,1111,25,0,-1085,-1111,1153,68,42,1153,125,62,22593,Palo Alto,FALSE,48.25,0,1.94,0
4005,1227,1275,48,1281,54,6,1293,66,18,13,125,106,879,Palo Alto,FALSE,21.26,0,1.06,0
4007,1371,1387,17,1425,54,37,1434,63,46,9,125,8,236,Palo Alto,FALSE,61.41,0,3.07,0
4008,32,33,1,63,31,30,105,73,72,42,125,107,71624,Palo Alto,TRUE,142.39,6,5.99,0
4010,1325,1407,82,0,-1325,-1407,1429,104,21,1429,125,12,83287,Palo Alto,FALSE,15.73,6,0.79,0
4025,78,111,33,0,-78,-111,140,62,28,140,125,53,6668,Palo Alto,TRUE,173.22,0,8.66,0
4026,1363,1398,35,0,-1363,-1398,1439,76,41,1439,125,221,103506,Palo Alto,FALSE,28.5,6,1.03,0
4035,1067,1067,1,1125,59,58,1172,105,104,46,125,8,929,Palo Alto,FALSE,262.18,0,11.5,0
4040,257,260,4,292,35,32,324,67,63,32,125,107,8964,Palo Alto,TRUE,39.11,0,3.04,0
4042,1003,1024,21,1118,115,94,1132,129,108,14,125,312,9799,Palo Alto,FALSE,184.08,0,7.46,0
4043,1019,1070,51,1086,67,16,1091,72,21,6,125,15,6425,Palo Alto,FALSE,23.29,0,4,0
4044,1023,1027,4,1084,61,57,1104,81,77,20,125,83,2999,Palo Alto,FALSE,146.52,0,6.18,0
4048,1100,1130,30,1158,58,28,1170,70,40,12,125,94,2208,Palo Alto,FALSE,94.09,0,4.05,0
4049,1260,1319,59,1329,69,10,1345,85,26,16,125,12,48744,Palo Alto,TRUE,36.99,0,1.42,0
4054,127,129,1,152,25,24,194,67,66,42,125,62,4052,Palo Alto,TRUE,166.91,0,7.12,0
4064,1166,1188,22,0,-1166,-1188,1232,66,44,1232,125,28,10703,Palo Alto,TRUE,26.55,0,0.94,0
4068,1096,1104,8,1126,30,22,1162,66,58,36,125,10,459,Palo Alto,TRUE,60.32,0,2.49,0
4075,1041,1082,41,0,-1041,-1082,1115,74,33,1115,125,48,8000,Palo Alto,FALSE,29.82,0,0,0
4082,90,110,20,133,43,23,177,87,67,44,125,48,7391,Palo Alto,TRUE,73.15,0,5,0
4083,1059,1069,10,1138,79,68,1144,86,75,7,125,8,929,Palo Alto,FALSE,160.11,0,6.81,0
4085,1061,1080,19,1154,93,74,1185,124,105,31,125,19,929,Palo Alto,FALSE,306.44,0,13.53,0
4092,1036,1040,5,1093,58,53,1138,102,97,44,125,8,550,Palo Alto,FALSE,189.53,0,8.16,0
4093,1037,1042,5,1091,54,49,1118,81,76,27,125,88,26654,Palo Alto,FALSE,217.18,0,28.3,0
4094,100,132,32,154,54,22,175,76,43,21,125,80,83205,Palo Alto,FALSE,76.74,0,9.88,1.09
4095,1160,1164,3,1184,24,21,1223,62,59,38,125,107,9395,Palo Alto,TRUE,57.06,0,2.34,0
4107,1117,1122,4,1180,63,59,1208,90,86,27,131,182,93666,San Jose,TRUE,13.82,6,0.35,0
4109,1097,1103,6,1130,33,27,1190,93,87,61,131,352,103570,San Jose,FALSE,35.85,0,1.79,0
4110,56,75,19,0,-56,-75,126,71,52,126,131,267,26246,San Jose,TRUE,21.77,0,1.45,0
4113,95,131,36,0,-95,-131,164,69,34,164,131,194,63656,San Jose,TRUE,70.16,0,8.85,0
4114,26,47,21,0,-26,-47,109,83,62,109,131,392,194634,San Jose,TRUE,50.91,6,6.19,0
4118,52,115,63,90,38,-25,125,72,9,34,131,346,59208,San Jose,TRUE,38.63,6,1.93,0
4125,84,89,6,119,35,29,150,66,61,32,131,316,57551,San Jose,TRUE,58.81,0,5.88,0
4130,76,105,29,0,-76,-105,150,75,46,150,131,194,78733,San Jose,TRUE,42.43,0,1.67,0
4131,1109,1119,10,1150,41,31,1176,67,57,25,131,68,69857,Mountain View,FALSE,47.33,6,3.8,0
4137,78,81,3,0,-78,-81,139,61,58,139,131,183,12453,San Jose,FALSE,72.27,0,5,0
4145,87,92,6,117,30,24,150,63,58,33,131,183,13082,San Jose,TRUE,22.3,0,2.24,0
4155,90,91,1,102,12,11,157,68,67,55,133,205,63674,Palo Alto,TRUE,68.69,0,5.76,0
4156,102,123,20,129,27,7,164,62,42,35,133,99,766,Palo Alto,TRUE,63.64,0,2.65,0
4168,37,39,3,0,-37,-39,117,81,78,117,133,8,4087,Palo Alto,FALSE,66.19,0,2.76,0
4174,7,134,127,0,-7,-134,160,154,26,160,133,94,5509,Palo Alto,FALSE,48.14,0,5.81,0
4179,111,111,0,119,8,8,190,79,79,71,133,81,6230,Palo Alto,TRUE,92.98,0,3.99,0
4186,160,170,10,206,45,35,223,62,52,17,133,91,10632,Palo Alto,TRUE,65.16,0,5.44,0
4190,53,57,5,0,-53,-57,117,65,60,117,133,120,52834,Palo Alto,TRUE,60.76,0,7.55,0
4201,282,284,1,302,20,19,365,82,81,62,133,107,113495,Palo Alto,TRUE,26.66,6,1.9,0
4212,106,108,2,0,-106,-108,178,73,71,178,133,18,6487,Palo Alto,TRUE,44.99,0,1.79,0
4217,45,84,38,133,88,50,144,99,60,11,134,41,8946,Mountain View,FALSE,82.51,0,9.66,0
4219,1324,1403,78,1415,91,12,1434,110,31,19,134,44,75050,Mountain View,FALSE,29.38,0,1.07,0
4223,118,136,19,149,31,12,185,68,49,37,134,87,9977,Mountain View,TRUE,32.54,0,1.63,0
4245,163,206,43,211,48,4,232,69,26,21,134,239,90631,Mountain View,TRUE,20.68,6,2.02,0
4250,122,150,28,0,-122,-150,195,73,45,195,134,45,6474,Mountain View,TRUE,26.66,0,1.9,0
4259,78,125,48,0,-78,-125,160,82,35,160,134,53,4326,Mountain View,FALSE,91.21,0,4.56,0
4261,1144,1177,33,1185,41,8,1211,67,34,26,134,44,83150,Mountain View,TRUE,36.4,6,3.64,0
4263,57,101,43,0,-57,-101,125,67,24,125,134,114,10125,Mountain View,TRUE,27.04,0,0.96,0
4265,1090,1103,13,1153,63,50,1176,86,73,23,134,89,9563,Mountain View,FALSE,176.26,0,22.65,0
4276,1064,1116,52,1126,62,10,1146,82,30,20,134,109,5252,Mountain View,FALSE,17.95,0,0.9,0
4277,984,1076,92,1082,98,6,1115,131,39,33,134,217,2469,Mountain View,FALSE,33.19,0,2,0
4283,46,65,19,93,47,29,113,67,48,19,134,41,6588,Mountain View,FALSE,54.88,0,4.49,0
4290,76,86,10,0,-76,-86,140,64,54,140,134,247,8195,Mountain View,TRUE,80.39,0,4.02,0
4292,196,238,42,240,45,3,266,71,28,26,134,90,57296,Mountain View,TRUE,19.59,0,3,0
4307,41,41,0,79,38,38,131,90,90,52,137,258,1833,Palo Alto,TRUE,231.78,0,30.31,0
4314,90,96,6,106,15,10,152,61,56,46,137,233,12560,Palo Alto,TRUE,33.14,0,3.73,0
4322,102,123,21,139,36,16,184,82,61,45,137,360,178,Palo Alto,TRUE,47.81,0,2.39,0
4323,1180,1182,1,1225,44,43,1260,80,79,36,137,15,1892,Palo Alto,TRUE,17.96,0,0.9,0
4324,114,117,2,145,31,28,188,74,71,43,137,4,64506,Palo Alto,TRUE,35.31,6,1.77,0
4325,1009,1086,77,1133,124,46,1143,134,56,10,137,98,6593,Palo Alto,FALSE,38.52,0,1.49,0
4328,34,46,12,103,69,57,123,89,77,20,137,68,4087,Palo Alto,FALSE,108.12,0,4.69,0
4330,21,79,58,0,-21,-79,121,100,42,121,137,9,54,Palo Alto,FALSE,15.24,0,0.76,0
4339,123,125,3,150,28,25,188,66,63,38,137,9,4751,Palo Alto,TRUE,26.06,0,1.84,0
4342,110,114,4,126,16,12,177,67,63,51,137,107,2156,Palo Alto,TRUE,39.71,0,5,0
4346,87,88,1,112,25,24,155,68,68,44,137,20,83436,Palo Alto,TRUE,36.88,6,1.42,0
4347,68,71,3,0,-68,-71,145,77,75,145,137,6,1526,Palo Alto,TRUE,23.29,0,1.59,0
4354,125,129,4,151,26,22,196,71,67,46,137,12,4234,Palo Alto,TRUE,37.32,0,4.32,0
4356,1062,1138,76,1147,85,9,1163,101,25,16,139,114,14189,Mountain View,FALSE,43.36,0,4.34,0
4357,1046,1088,42,0,-1046,-1088,1148,102,60,1148,139,44,14422,Mountain View,FALSE,92.77,0,3.99,0
4358,1003,1098,95,0,-1003,-1098,1145,142,48,1145,139,90,69857,Mountain View,FALSE,30.79,0,1.14,0
4366,141,216,76,0,-141,-216,251,110,35,251,139,99,5804,Palo Alto,TRUE,129.29,0,5.39,134.68
4367,1141,1187,46,1198,57,11,1225,84,38,28,139,111,5747,Mountain View,TRUE,40.69,0,3.19,0
4371,8,9,0,56,48,47,81,73,73,25,139,217,68623,Mountain View,TRUE,37.54,0,5.63,0
4372,938,1156,218,0,-938,-1156,1200,262,44,1200,139,44,1447,Mountain View,FALSE,52.16,0,6.36,0
4373,1248,1250,1,1265,17,16,1324,75,74,58,139,43,9833,Mountain View,TRUE,24.92,0,0.87,0
4374,345,0,-345,0,-345,0,1154,809,1154,1154,139,11,68742,Mountain View,FALSE,343.66,0,0,0
4376,1130,1151,21,1182,52,31,1195,65,44,13,139,241,101145,Mountain View,TRUE,21.2,6,1.39,0
4377,1132,1184,52,1190,58,6,1214,82,30,24,139,43,11977,Mountain View,TRUE,17.36,0,1.04,0
4378,1152,1208,56,1242,90,34,1254,102,46,12,139,62,81204,Mountain View,TRUE,58.58,6,4.83,0
4380,177,187,11,0,-177,-187,241,64,53,241,139,45,107474,Mountain View,TRUE,47.81,6,3.84,0
4385,1004,1051,46,1118,113,67,1162,158,111,44,139,252,26654,Palo Alto,FALSE,367.45,0,49.02,0
4386,1062,1084,22,1145,83,61,1162,100,78,17,139,44,959,Mountain View,FALSE,334.08,0,29.61,0
4388,1066,1104,38,1108,42,4,1144,79,41,37,139,212,550,Mountain View,FALSE,155.85,0,5.52,0
4390,1039,1090,51,1105,65,15,1118,79,28,13,139,43,5744,Mountain View,FALSE,15.24,0,0.42,0
4391,1063,1103,41,1134,72,31,1152,89,49,18,139,46,14062,Mountain View,FALSE,39.17,0,1.52,0
4392,100,114,14,0,-100,-114,169,70,56,169,139,207,100569,Palo Alto,TRUE,82.02,0,4.1,36
4393,1117,1138,21,1148,31,10,1181,64,43,33,139,246,101584,Mountain View,FALSE,18.51,6,0.57,0
4398,1069,1073,4,1119,49,45,1136,66,62,17,139,77,12456,Mountain View,FALSE,31.5,0,3.15,0
4399,1077,1096,19,1174,97,78,1184,107,87,10,139,45,5673,Mountain View,FALSE,151.09,0,6.39,12
4405,1114,1126,12,1170,55,44,1183,69,57,14,139,111,74371,Mountain View,FALSE,213.31,0,9.25,0
4413,1046,1083,36,1109,63,26,1138,91,55,28,139,109,104723,Mountain View,FALSE,49.47,6,1.99,0
4420,1243,1284,42,1293,50,9,1319,77,35,27,141,370,100694,Mountain View,TRUE,31.94,0,0,0
4428,37,64,28,0,-37,-64,101,64,37,101,141,251,65416,Mountain View,TRUE,48.41,0,2.42,0
4429,134,151,17,0,-134,-151,201,67,50,201,141,45,191646,Mountain View,TRUE,54.29,6,2.22,0
4448,1051,1082,32,1100,49,17,1119,69,37,20,141,43,61633,Mountain View,FALSE,24.98,0,2.61,0
4450,77,109,32,132,55,23,157,79,48,24,141,26,13806,Mountain View,TRUE,49.12,0,3.94,6
4452,1035,1076,41,1101,66,25,1128,93,52,27,141,29,2469,Mountain View,FALSE,42.92,0,2,0
4456,1253,1258,5,1328,75,70,1343,89,84,14,141,98,10983,Mountain View,TRUE,30.47,0,2.25,0
4457,104,116,13,156,52,39,170,66,53,14,141,98,5471,Mountain View,TRUE,36.72,0,3.67,0
4462,1221,1258,37,1265,44,7,1282,61,24,17,141,215,11354,Mountain View,TRUE,21.77,0,0.72,0
4467,1113,1166,53,1173,60,7,1190,77,24,17,141,239,10120,Mountain View,FALSE,16.88,0,1,0
4478,213,216,3,246,33,30,276,63,61,31,141,30,83971,Mountain View,TRUE,158.11,6,7.91,0
4485,128,152,24,182,55,31,200,72,48,17,141,220,3584,Mountain View,TRUE,35.36,0,4.05,0
4487,58,71,13,0,-58,-71,123,65,52,123,141,220,14189,Mountain View,TRUE,183.44,0,9.17,0
4495,132,139,7,201,69,62,218,86,79,17,141,219,75473,Mountain View,TRUE,21.77,0,2.17,0
4496,116,136,20,0,-116,-136,187,72,51,187,141,215,5190,Mountain View,TRUE,64.07,0,5.34,0
4502,48,78,30,76,28,-2,110,62,31,34,141,220,1988,Mountain View,TRUE,21.17,0,1.06,0
4512,51,81,30,0,-51,-81,129,78,48,129,141,76,1455,Mountain View,TRUE,94.79,0,4.08,0
4514,1224,1256,32,0,-1224,-1256,1299,75,44,1299,141,77,4158,Palo Alto,TRUE,36.34,0,6,0
4528,153,174,20,0,-153,-174,256,102,82,256,143,104,193477,Palo Alto,TRUE,52.71,6,4.29,0
4530,175,187,11,0,-175,-187,256,80,69,256,143,107,38240,Palo Alto,TRUE,36.34,0,2.79,0
4531,1151,1189,39,0,-1151,-1189,1263,112,73,1263,143,88,9563,Mountain View,TRUE,91.27,0,11.76,0
4533,1067,1072,5,0,-1067,-1072,1129,62,57,1129,144,124,66267,Palo Alto,FALSE,42.69,0,3.37,0
4538,1349,1406,57,1413,63,7,1436,87,30,24,144,62,21459,Palo Alto,FALSE,64.62,0,0,0
4540,67,95,28,0,-67,-95,132,65,37,132,144,3,4777,Palo Alto,TRUE,39.11,0,3.04,0
4541,146,175,29,0,-146,-175,214,67,39,214,144,63,20251,Palo Alto,TRUE,90.06,0,11.59,0
4543,1032,1041,9,1094,62,53,1104,72,63,10,144,8,12701,Palo Alto,FALSE,41.18,0,1.61,0
4544,1089,1089,0,1148,59,59,1170,80,80,21,144,8,12708,Palo Alto,FALSE,153.21,0,6.21,0
4545,224,225,0,243,18,18,293,69,69,51,144,107,97556,Palo Alto,TRUE,70.65,6,16,0
4552,93,93,0,0,-93,-93,159,66,66,159,144,107,3835,Palo Alto,TRUE,48.3,0,2.94,0
4557,1045,1046,0,1080,35,35,1109,64,64,29,144,9,28879,Palo Alto,FALSE,165.12,0,0,0
4563,57,58,1,99,41,41,129,72,71,31,144,68,14043,Palo Alto,TRUE,204.05,0,8.83,0
4577,1091,1132,40,1158,67,27,1183,92,51,25,144,28,157590,Palo Alto,FALSE,85.55,6,3.65,0
4579,126,161,35,174,47,13,188,62,27,14,144,94,8024,Palo Alto,TRUE,101.16,0,10.12,0
4580,1012,1074,62,1126,114,52,1159,147,85,32,144,258,98888,Palo Alto,FALSE,159.26,6,6.77,0
4586,178,184,7,0,-178,-184,270,92,85,270,144,205,3395,Palo Alto,TRUE,43.37,0,4.34,0
4588,1149,1158,9,1173,23,14,1213,64,54,40,144,68,3051,Palo Alto,TRUE,31.01,0,1.15,0
4597,873,1055,182,1093,220,38,1121,248,66,28,144,20,93312,Palo Alto,FALSE,15.73,6,3,0
4603,94,129,35,0,-94,-129,168,74,39,168,144,105,1210,Palo Alto,TRUE,152.99,0,19.44,0
4607,19,32,13,67,49,36,87,68,55,20,144,115,1061,Palo Alto,FALSE,53.85,0,2.69,0
4609,1078,1084,6,1136,58,52,1157,79,73,21,144,47,4484,Palo Alto,FALSE,87.45,0,11.23,0
4611,1121,1126,6,0,-1121,-1126,1185,64,58,1185,144,47,459,Palo Alto,TRUE,113.6,0,6,0
4612,918,1029,111,1073,155,44,1104,186,75,31,144,9,11148,Palo Alto,FALSE,130.43,0,6,0
4614,172,216,44,0,-172,-216,237,65,21,237,144,3,191861,Palo Alto,TRUE,26.66,6,4,0
4615,995,1071,76,1087,92,16,1110,115,39,24,144,58,13726,Palo Alto,FALSE,22.2,0,2.22,0
4616,56,105,49,110,54,5,135,80,31,25,144,71,71898,Palo Alto,TRUE,40.88,0,4,0
4618,123,123,0,153,31,30,188,65,65,34,144,8,8123,Palo Alto,TRUE,24.43,0,1.22,0
4625,3,38,35,0,-3,-38,88,84,50,88,144,10,1141,Palo Alto,FALSE,21.77,0,2.17,0
4630,1132,1162,30,1178,46,16,1203,71,41,25,144,9,4484,Palo Alto,TRUE,83.1,0,10.63,0
4636,48,56,8,0,-48,-56,110,61,53,110,144,27,2612,Palo Alto,TRUE,67.77,0,3.39,0
4643,1022,1035,14,0,-1022,-1035,1126,104,91,1126,144,9,6710,Palo Alto,FALSE,147.94,0,6.25,32.39
4644,130,139,9,0,-130,-139,201,71,62,201,144,99,12658,Palo Alto,TRUE,63.47,0,2.64,0
4648,94,105,12,150,57,45,167,73,61,16,144,84,61482,Palo Alto,TRUE,45.48,0,1.81,0
4653,1027,1029,2,1101,74,72,1125,98,96,24,144,8,91848,Palo Alto,FALSE,282.45,0,12.43,0
4656,1038,1046,9,1095,57,49,1106,68,60,11,144,8,4484,Palo Alto,FALSE,37.54,0,4.35,0
4666,134,156,22,174,40,17,197,63,41,23,144,20,10178,Palo Alto,TRUE,57.44,0,2.87,0
4668,35,36,0,47,11,11,100,64,64,53,144,79,790,Palo Alto,TRUE,90.91,0,4.55,0
4669,129,158,29,0,-129,-158,195,66,37,195,144,3,7250,Palo Alto,TRUE,24.98,0,0,0
4676,1043,1111,68,1127,84,16,1132,89,21,5,144,14,4087,Palo Alto,FALSE,44.22,0,1.75,0
4682,1035,1104,69,1114,79,10,1139,104,35,25,144,83,14296,Palo Alto,FALSE,70.6,0,6.89,10.33
4683,1107,1107,0,1116,8,8,1172,65,65,56,144,83,2999,Palo Alto,TRUE,162.08,0,13.8,0
4689,1064,1105,41,1118,54,13,1142,78,37,24,144,59,155635,Palo Alto,FALSE,113.62,6,0,0
4691,155,176,21,0,-155,-176,221,65,44,221,144,68,4018,Palo Alto,TRUE,28.84,0,1.05,0
4696,961,1075,114,1101,139,25,1125,164,50,24,144,258,10294,None,FALSE,94.84,0,10,0
4698,1367,1388,21,1417,50,29,1432,65,44,15,144,8,10133,Palo Alto,FALSE,21.22,6,1.06,0
4699,41,83,43,92,51,8,102,62,19,11,144,258,5634,Palo Alto,TRUE,40.15,0,6.02,0
4715,1060,1066,6,1118,58,52,1137,77,71,19,145,83,2512,Palo Alto,FALSE,162.23,0,20.72,0
4716,81,132,51,148,67,16,171,91,40,23,145,101,3468,Palo Alto,FALSE,45.69,0,1.82,0
4720,191,224,33,232,40,7,259,68,35,27,145,53,1638,Palo Alto,TRUE,38.03,0,1.47,0
4730,69,69,0,95,27,26,139,70,70,44,145,8,8000,Palo Alto,TRUE,149.19,0,6.3,0
4732,1005,1117,112,1145,139,28,1168,163,51,23,145,62,12443,Palo Alto,FALSE,29.82,0,1.09,0
4735,32,36,5,42,11,6,95,63,58,52,145,68,20206,Palo Alto,TRUE,27.75,0,4.16,0
4737,153,175,22,0,-153,-175,222,69,47,222,145,12,14646,Palo Alto,TRUE,26.66,0,4,0
4742,131,131,0,154,23,23,193,62,62,39,145,68,2702,Palo Alto,TRUE,23.94,0,1.2,0
4747,149,151,2,185,36,34,212,63,61,27,145,71,912,Palo Alto,TRUE,80.01,0,6.79,0
4750,106,122,16,157,52,35,183,78,61,26,145,10,2595,Palo Alto,FALSE,63.64,0,3.18,0
4756,22,91,69,0,-22,-91,126,104,35,126,145,8,9189,Palo Alto,TRUE,28.84,0,1.05,0
4758,1181,1187,6,1224,43,37,1245,64,58,21,145,124,45657,Palo Alto,TRUE,89.19,0,3.82,0
4759,1110,1148,37,0,-1110,-1148,1176,65,28,1176,145,18,8092,Palo Alto,TRUE,14.65,0,0.39,0
4767,51,80,29,84,34,5,117,67,38,33,145,48,3805,Palo Alto,FALSE,49.88,0,6.05,0
4769,1031,1130,100,1147,116,16,1162,132,32,16,145,15,1096,Palo Alto,FALSE,33.62,0,1.27,0
4773,80,109,29,122,42,13,155,74,46,33,145,77,197075,Mountain View,TRUE,28.67,6,1.04,0
4775,1030,1059,29,1111,80,52,1175,145,116,64,145,91,8076,Palo Alto,FALSE,439.77,0,10,0
4780,1086,1116,30,1141,55,25,1162,76,46,21,145,14,9180,Palo Alto,FALSE,85.45,0,3.65,0
4783,161,169,8,198,37,29,224,63,55,26,145,32,78994,Palo Alto,TRUE,20.03,0,1.93,0
4789,228,242,13,280,52,38,316,88,75,37,145,218,3772,Palo Alto,TRUE,56.3,0,6.93,0
4801,48,77,29,116,68,39,129,81,52,13,147,69,4087,Palo Alto,FALSE,22.8,0,0.77,0
4803,1073,1130,57,1143,70,13,1175,102,45,32,147,19,8703,Palo Alto,FALSE,41.29,0,1.95,0
4804,1185,1186,2,0,-1185,-1186,1246,61,60,1246,147,20,6032,Palo Alto,TRUE,31.99,0,1.6,0
4814,31,53,22,0,-31,-53,100,69,47,100,147,97,342,Palo Alto,TRUE,70.33,0,8.87,0
4815,54,101,47,141,87,40,159,105,58,18,147,341,13341,Palo Alto,TRUE,22.75,0,0.77,0
4818,1158,1196,38,1215,57,19,1220,62,24,5,147,12,77830,Palo Alto,TRUE,33.19,0,3.75,0
4819,144,160,16,167,23,7,212,67,52,44,147,205,8467,Palo Alto,TRUE,35.74,0,3.57,0
4828,47,86,39,102,55,16,118,71,33,16,147,9,14043,Palo Alto,FALSE,91.37,0,3.92,0
4830,1256,1276,21,1294,38,18,1318,63,42,25,147,18,84602,Palo Alto,FALSE,17.91,6,0.9,0
4838,1054,1090,36,0,-1054,-1090,1127,73,36,1127,147,233,3009,Palo Alto,FALSE,93.55,0,4.01,0
4841,1026,1100,73,1114,88,14,1131,104,31,17,147,200,13018,Palo Alto,FALSE,64.62,0,2.69,0
4847,1057,1152,95,1179,122,27,1186,129,35,7,147,8,44564,Palo Alto,FALSE,27.75,0,3,0
4848,65,98,34,133,69,35,144,79,45,10,147,9,14,Palo Alto,FALSE,47.27,0,3.79,0
4851,76,95,18,118,42,24,149,72,54,31,147,9,194934,Palo Alto,TRUE,33.68,6,1.27,0
4860,47,68,21,80,33,12,113,66,46,33,147,9,75093,Palo Alto,FALSE,38.08,6,2.95,0
4864,1195,1222,27,1239,44,17,1270,75,48,31,147,9,54,Palo Alto,TRUE,17.96,0,0.9,0
4865,12,13,1,31,19,18,83,71,70,52,147,9,49159,Palo Alto,TRUE,48.41,0,3.9,0
4872,1057,1085,29,1126,69,41,1138,82,53,12,147,83,4087,Palo Alto,FALSE,97.68,0,3.64,88.81
4878,1057,1112,55,1118,61,6,1132,74,20,14,147,114,900,Palo Alto,FALSE,25.47,0,1.27,0
4879,208,217,9,261,53,44,275,67,58,14,147,63,10513,Palo Alto,TRUE,53.09,0,2.16,0
4881,1131,1145,14,1173,42,28,1193,62,48,21,147,10,11956,Palo Alto,TRUE,35.25,0,1.34,0
4884,1013,1113,100,1149,136,36,1183,170,70,34,147,86,98888,Palo Alto,FALSE,210.59,0,0,0
4886,1374,1391,17,1415,41,25,1438,64,47,23,147,8,9792,Palo Alto,FALSE,93.05,0,4,0
4900,1040,1103,63,0,-1040,-1103,1147,107,44,1147,147,104,13018,Palo Alto,FALSE,83.05,0,3.54,0
4905,1036,1064,28,1138,102,74,1148,113,84,10,147,78,8076,Palo Alto,FALSE,361.14,0,10,0
4913,140,141,1,0,-140,-141,204,64,63,204,147,20,1637,Palo Alto,FALSE,29.27,0,1.46,0
4919,199,200,1,245,46,45,272,72,71,26,147,107,156692,Palo Alto,TRUE,257.5,0,11.28,0
4920,101,115,14,127,26,12,168,67,53,41,147,324,11724,Palo Alto,TRUE,127.6,0,6.38,34.64
4930,1062,1101,39,1119,57,19,1135,73,35,16,147,232,4484,Palo Alto,FALSE,84.19,0,10.78,0
4932,42,46,4,96,53,49,113,71,66,17,147,63,84488,Palo Alto,FALSE,123.41,6,6.17,0
4934,340,0,-340,1082,742,1082,1129,789,1129,48,147,11,106159,Palo Alto,FALSE,353.38,0,35.62,0
4935,1092,1127,35,1131,39,4,1170,78,44,40,147,233,3772,Palo Alto,FALSE,31.45,0,3.5,0
4937,1093,1102,9,1140,47,38,1161,68,59,20,147,15,13846,Palo Alto,TRUE,41.62,0,1.63,0
4938,1065,1068,3,1124,59,56,1134,69,66,11,147,8,929,Palo Alto,FALSE,87.28,0,3.73,0
4942,82,100,18,125,43,24,153,71,53,29,147,10,6898,Palo Alto,TRUE,45.1,0,1.79,0
